date,NIFTY_ALPHA_50,NIFTY500_MOMENTUM_50,NIFTY500_MULTIFACTOR_MQVLV_50,NIFTY500_QUALITY_50,NIFTY500_VALUE_50,NIFTY500_LOW_VOLATILITY_50,NIFTY_HIGH_BETA_50,NIFTY_500
2005-04-25,1610.17,1012.76,1002.87,967.07,984.12,990.18,,1748.3
2005-04-26,1612.1,1008.01,1001.15,962.65,988.22,986.37,,1740.6
2005-04-27,1589.28,1003.14,998.19,956.4,974.97,981.64,,1723.05
2005-04-28,1582.21,996.41,1004.4,957.66,962.25,987.08,,1718.15
2005-04-29,1548.58,974.03,990.77,939.42,944.49,966.3,,1688.65
2005-05-02,1545.44,958.87,988.63,943.21,947.29,969.2,,1695.25
2005-05-03,1549.88,960.43,988.21,942.66,948.69,973.67,,1698.4
2005-05-04,1572.5,979.52,998.12,955.2,961.48,986.48,,1717.65
2005-05-05,1578.85,985.47,1007.23,966.77,982.1,995.01,,1737.6
2005-05-06,1585.59,992.14,1013.82,971.52,986.65,999.44,,1748.55
2005-05-09,1597.33,1010.83,1028.59,985.23,997.71,1011.43,,1769.7
2005-05-10,1594.14,1009.94,1025.14,984.09,991.97,1011.91,,1765.9
2005-05-11,1591.67,1013.55,1026.63,979.59,990.92,1010.54,,1760.3
2005-05-12,1608.57,1027.13,1029.77,984.54,1004.58,1015.14,,1768.9
2005-05-13,1620.48,1036.11,1036.03,983.76,1008.99,1016.8,,1768.25
2005-05-16,1643.95,1049.95,1045.53,992.46,1026.43,1022.73,,1785.95
2005-05-17,1624.91,1037.93,1035.9,983.13,1015.06,1015,,1766.35
2005-05-18,1631.03,1041.34,1034.54,979.53,1017.42,1011.63,,1761.6
2005-05-19,1642.15,1052.37,1040.48,985.9,1027.63,1016.11,,1770.6
2005-05-20,1631.56,1050.89,1040.76,985.32,1030.85,1017.46,,1771.3
2005-05-23,1640.53,1058.17,1041.62,988.28,1040.52,1023.53,,1788.15
2005-05-24,1645.19,1061.05,1047.87,997.13,1044.73,1025.98,,1797.95
2005-05-25,1653.51,1061.22,1051.73,1004.62,1048.47,1034.1,,1808.5
2005-05-26,1646.04,1057.1,1054.49,1012.98,1037.72,1044.15,,1822.25
2005-05-27,1640.45,1048.25,1052.62,1016.84,1040.23,1047.6,,1824.75
2005-05-30,1626.47,1040.17,1048.65,1012.86,1034.72,1043.37,,1819.2
2005-05-31,1635.78,1047.16,1055.09,1020.12,1040.17,1050.62,,1834.85
2005-06-01,1644.99,1055.72,1062.04,1022.33,1042.61,1057.93,,1838.45
2005-06-02,1633.57,1049.68,1057.34,1013.47,1037.66,1049.93,,1821.45
2005-06-03,1642.9,1059.23,1061.56,1021.74,1046.84,1057.37,,1843.05
2005-06-04,1649.17,1067.25,1070.18,1025.32,1055.15,1059.71,,1844.85
2005-06-06,1658.88,1069.2,1066.58,1023.66,1054.08,1059.78,,1849.2
2005-06-07,1669.78,1068.22,1068.38,1023.2,1070.22,1061.14,,1856.5
2005-06-08,1675.48,1062.47,1070.91,1029.16,1080.94,1068.95,,1867.3
2005-06-09,1681.48,1067.09,1071.52,1025.19,1084.27,1067.78,,1862.15
2005-06-10,1670.97,1062.97,1063.9,1016.08,1072.36,1062.38,,1851
2005-06-13,1667.71,1060.26,1062,1015.35,1069.96,1066.94,,1858.15
2005-06-14,1678.61,1065.6,1063.17,1016.6,1070.85,1069.74,,1863.1
2005-06-15,1692.97,1073.81,1066.2,1021.54,1070.2,1072.02,,1874.75
2005-06-16,1668.12,1054.91,1057.52,1016.65,1049.58,1066.95,,1862.75
2005-06-17,1647.49,1035.65,1049.06,1012.92,1036.07,1064.53,,1854.6
2005-06-20,1635.71,1023.13,1046.03,1015.41,1027.78,1069.4,,1861.65
2005-06-21,1645.79,1029.26,1050.64,1026.25,1026.43,1082.04,,1877.5
2005-06-22,1648.62,1037.05,1050.93,1029.69,1021.21,1089.1,,1889.05
2005-06-23,1655.6,1040.58,1053.38,1032.95,1029.06,1089.1,,1890.8
2005-06-24,1670.49,1053.91,1062.15,1038.62,1030.8,1096.72,,1901.35
2005-06-27,1657.1,1060.23,1063.55,1037.41,1031.95,1095,,1903.3
2005-06-28,1619.66,1042,1048.58,1020.09,1014.29,1082.23,,1875.8
2005-06-29,1643.51,1057.44,1056.44,1028.31,1019.19,1087.62,,1892.85
2005-06-30,1643.81,1064.25,1061.32,1031.1,1010.75,1098.8,,1906.2
2005-07-01,1674.42,1076.51,1074.43,1037.79,1026.77,1105.84,,1912.35
2005-07-04,1709.74,1089.86,1086.8,1046.9,1041.14,1117.84,,1933.35
